RDIndex2019,State,officeLevel,OCDID,district,urbanity,officeName,name,party,partyRollUp,white,race,gender,census2010Pop,native%,white%,black%,hispanic%,asian%,multi%,other%,nonwhite%
EOrd9846,CA,administrativeArea2,ocd-division/country:us/state:ca/county:los_angeles,Los Angeles County,Urban,Sheriff,Alex Villanueva,Nonpartisan,Independent,Non-White,Hispanic or Latino,Male,9818605,0.0019,0.2779,0.083,0.4774,0.1373,0.0199,0.0026,0.7221
EOrd12608,IL,administrativeArea2,ocd-division/country:us/state:il/county:cook,Cook County,Urban,Sheriff,Thomas Dart,Unknown,Unknown,White,White,Male,5194675,0.0013,0.4386,0.2437,0.2396,0.0616,0.0138,0.0015,0.5614
EOrd24541,TX,administrativeArea2,ocd-division/country:us/state:tx/county:harris,Harris County,Urban,Sheriff,Ed Gonzalez,Democratic Party,Democratic Party,Non-White,Hispanic or Latino,Male,4092459,0.002,0.3298,0.1843,0.4084,0.0616,0.0119,0.0019,0.6702
EOrd9663,AZ,administrativeArea2,ocd-division/country:us/state:az/county:maricopa,Maricopa County,Urban,Sheriff,Paul Penzone,Democratic Party,Democratic Party,White,White,Male,3817117,0.0155,0.5868,0.0465,0.2957,0.0354,0.0186,0.0014,0.4132
EOrd9847,CA,administrativeArea2,ocd-division/country:us/state:ca/county:san_diego,San Diego County,Urban,Sheriff,William Gore,Nonpartisan,Independent,White,White,Male,3095313,0.0046,0.4846,0.0474,0.3203,0.1103,0.0307,0.0022,0.5154
EOrd9871,CA,administrativeArea2,ocd-division/country:us/state:ca/county:orange,Orange County,Urban,Sheriff-Coroner,Don Barnes,Nonpartisan,Independent,White,White,Male,3010232,0.0021,0.4413,0.0146,0.3365,0.1797,0.024,0.0019,0.5587
EOrd24542,TX,administrativeArea2,ocd-division/country:us/state:tx/county:dallas,Dallas County,Urban,Sheriff,Marian Brown,Democratic Party,Democratic Party,Non-White,Black or African American,Female,2368139,0.0031,0.3314,0.219,0.3826,0.0501,0.0124,0.0014,0.6686
EOrd9848,CA,administrativeArea2,ocd-division/country:us/state:ca/county:riverside,Riverside County,Urban,Sheriff,Chad Bianco,Nonpartisan,Independent,White,White,Male,2189641,0.005,0.3969,0.0597,0.4545,0.0602,0.022,0.0017,0.6031
EOrd9872,CA,administrativeArea2,ocd-division/country:us/state:ca/county:san_bernardino,San Bernardino County,Urban,Sheriff-Coroner,John McMahon,Nonpartisan,Independent,White,White,Male,2035210,0.0042,0.3329,0.0839,0.4919,0.0638,0.0213,0.002,0.6671
EOrd26538,WA,administrativeArea2,ocd-division/country:us/state:wa/county:king,King County,Urban,Sheriff,Mitzi Johanknecht,,Unknown,White,White,Female,1931249,0.0067,0.6479,0.0602,0.0893,0.1523,0.0412,0.0024,0.3521
